[INFO 03:21:28]saferun_ptrace starting (mode: deny)
[INFO 03:22:49]PID 440 syscall #89 (readlink)
[INFO 03:22:49]PID 440 syscall #63 (uname)
[INFO 03:22:49]PID 440 syscall #302 (prlimit64)
[INFO 03:22:49]PID 440 syscall #230 (clock_nanosleep)
[INFO 03:22:49]PID 440 syscall #56 (clone)
[INFO 03:22:49]PID 440 syscall #61 (wait4)
[INFO 03:22:49]Child exited with code 0
[INFO 03:22:57]saferun_ptrace starting (mode: deny)
[INFO 03:22:57]PID 453 syscall #59 (execve)
[INFO 03:22:57]PID 453 syscall #12 (brk)
[INFO 03:22:57]PID 453 syscall #12 (brk)
[INFO 03:22:57]PID 453 syscall #158 (arch_prctl)
[INFO 03:22:57]PID 453 syscall #218 (set_tid_address)
[INFO 03:22:57]PID 453 syscall #273 (set_robust_list)
[INFO 03:22:57]PID 453 syscall #334 (rseq)
[INFO 03:22:57]PID 453 syscall #302 (prlimit64)
[INFO 03:22:57]PID 453 syscall #267 (readlinkat)
[INFO 03:22:57]PID 453 syscall #318 (getrandom)
[INFO 03:22:57]PID 453 syscall #12 (brk)
[INFO 03:22:57]PID 453 syscall #12 (brk)
[INFO 03:22:57]PID 453 syscall #12 (brk)
[INFO 03:22:57]PID 453 syscall #10 (mprotect)
[INFO 03:22:57]PID 453 syscall #5 (fstat)
[INFO 03:22:57]PID 453 syscall #39 (getpid)
[INFO 03:22:57]PID 453 syscall #257 (openat)
[INFO 03:22:57]PID 453 syscall #32 (dup)
[INFO 03:22:57]PID 453 syscall #72 (fcntl)
[INFO 03:22:57]PID 453 syscall #3 (close)
[INFO 03:22:57]PID 453 syscall #1 (write)
[INFO 03:22:57]PID 453 syscall #1 (write)
[INFO 03:22:57]PID 453 syscall #0 (read)
[INFO 03:22:57]PID 453 syscall #9 (mmap)
[INFO 03:22:57]PID 453 syscall #11 (munmap)
[INFO 03:22:57]PID 453 syscall #41 (socket)
[INFO 03:22:57]PID 453 syscall #3 (close)
[INFO 03:22:57]PID 453 syscall #39 (getpid)
[INFO 03:22:57]PID 453 syscall #62 (kill)
[INFO 03:22:57]PID 453 syscall #110 (getppid)
[INFO 03:22:57]PID 453 syscall #102 (getuid)
[INFO 03:22:57]PID 453 syscall #104 (getgid)
[INFO 03:22:57]PID 453 syscall #293 (pipe2)
[INFO 03:22:57]PID 453 syscall #3 (close)
[INFO 03:22:57]PID 453 syscall #3 (close)
[INFO 03:22:57]PID 453 syscall #32 (dup)
[INFO 03:22:57]PID 453 syscall #3 (close)
[INFO 03:22:57]PID 453 syscall #72 (fcntl)
[INFO 03:22:57]PID 453 syscall #257 (openat)
[INFO 03:22:57]PID 453 syscall #8 (lseek)
[INFO 03:22:57]PID 453 syscall #3 (close)
[INFO 03:22:57]PID 453 syscall #21 (access)
[INFO 03:22:57]PID 453 syscall #89 (readlink)
